Sample	sampeid	group	type	sort	kind
Con1.1	Con1.1	Con	Con1	Con1	con
Con1.2	Con1.2	Con	Con1	Con1	con
Con1.3	Con1.3	Con	Con1	Con1	con
Con2.1	Con2.1	Con	Con2	Con2	con
Con2.2	Con2.2	Con	Con2	Con2	con
Con2.3	Con2.3	Con	Con2	Con2	con
Con3.1	Con3.1	Con	Con3	Con3	con
Con3.2	Con3.2	Con	Con3	Con3	con
Con3.3	Con3.3	Con	Con3	Con3	con
Con4.1	Con4.1	Con	Con4	Con4	con
Con4.2	Con4.2	Con	Con4	Con4	con
Con4.3	Con4.3	Con	Con4	Con4	con
Starved1.1	Starved1.1	Starved	Starved1	Starved1	treatment
Starved1.2	Starved1.2	Starved	Starved1	Starved1	treatment
Starved1.3	Starved1.3	Starved	Starved1	Starved1	treatment
Starved2.1	Starved2.1	Starved	Starved2	Starved2	treatment
Starved2.2	Starved2.2	Starved	Starved2	Starved2	treatment
Starved2.3	Starved2.3	Starved	Starved2	Starved2	treatment
Starved3.1	Starved3.1	Starved	Starved3	Starved3	treatment
Starved3.2	Starved3.2	Starved	Starved3	Starved3	treatment
Starved3.3	Starved3.3	Starved	Starved3	Starved3	treatment
Starved4.1	Starved4.1	Starved	Starved4	Starved4	treatment
Starved4.2	Starved4.2	Starved	Starved4	Starved4	treatment
Starved4.3	Starved4.3	Starved	Starved4	Starved4	treatment
Refed1.1	Refed1.1	Refed	Refed1	Refed1	treatment
Refed1.2	Refed1.2	Refed	Refed1	Refed1	treatment
Refed1.3	Refed1.3	Refed	Refed1	Refed1	treatment
Refed2.1	Refed2.1	Refed	Refed2	Refed2	treatment
Refed2.2	Refed2.2	Refed	Refed2	Refed2	treatment
Refed2.3	Refed2.3	Refed	Refed2	Refed2	treatment
Refed3.1	Refed3.1	Refed	Refed3	Refed3	treatment
Refed3.2	Refed3.2	Refed	Refed3	Refed3	treatment
Refed3.3	Refed3.3	Refed	Refed3	Refed3	treatment
Refed4.1	Refed4.1	Refed	Refed4	Refed4	treatment
Refed4.2	Refed4.2	Refed	Refed4	Refed4	treatment
Refed4.3	Refed4.3	Refed	Refed4	Refed4	treatment
