	Con1.1	Con1.2	Con1.3	Con2.1	Con2.2	Con2.3	Con3.1	Con3.2	Con3.3	Con4.1	Con4.2	Con4.3	Starved1.1	Starved1.2	Starved1.3	Starved2.1	Starved2.2	Starved2.3	Starved3.1	Starved3.2	Starved3.3	Starved4.1	Starved4.2	Starved4.3	Refed1.1	Refed1.2	Refed1.3	Refed2.1	Refed2.2	Refed2.3	Refed3.1	Refed3.2	Refed3.3	Refed4.1	Refed4.2	Refed4.3
OTU1869	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU593	2	0	3	0	0	0	0	0	0	0	2	2	0	0	0	2	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
OTU4020	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU3926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4028	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4029	0	0	3	2	0	1	3	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
OTU592	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU2030	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU344	0	1	0	0	0	0	0	0	0	0	0	4	0	4	1	4	0	0	2	0	3	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU345	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	1	5	0	0	0	0	0	0	0	1	3	0	1	0	0	0	2	0
OTU346	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU347	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU340	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	22	0	0	0	0	0	0	0	0	2	0	0	0
OTU341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	0	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
OTU342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	5	23	0	0	0	0	0	1	0	2	0	0	2
OTU343	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU3997	0	0	5	4	9	1	0	2	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
OTU3995	0	2	0	0	3	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
OTU3994	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU348	0	1	3	0	0	0	0	4	0	3	0	0	0	0	2	0	0	0	0	3	0	1	0	1	1	0	0	1	0	2	0	2	0	1	0	4
OTU3992	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3991	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU457	0	0	0	0	0	0	0	0	0	0	0	0	21	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2919	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	8	2	2	0	0	4	2	0	0	1	0	1	0	0	0	0
OTU2316	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU2315	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2184	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU298	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	3	0	0
OTU299	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	17	0	1	0	0	0	0	0	0	0	0	1	0	0	0
OTU296	2	0	0	0	0	0	0	0	1	0	2	0	1	2	0	2	4	0	0	5	0	2	4	4	1	0	0	0	0	2	0	2	1	0	0	0
OTU297	1	0	2	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU294	6	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	1	0	3	1	2	0	0	0	6	3	3	1	0	1	2	1	0	0	0	0
OTU295	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	3	0	1	4	0	0	2	1	0	0	3	0
OTU292	3	0	0	0	0	1	4	0	0	0	2	0	1	2	0	0	1	0	0	1	2	0	0	0	2	2	0	0	2	0	7	0	4	0	4	3
OTU293	0	2	0	0	0	8	5	0	2	1	0	0	0	0	0	0	1	0	2	2	0	4	47	21	0	0	0	0	0	9	0	0	1	7	0	49
OTU290	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	12	0	3	0	0	1	4	1	3	0	0	0	0	0	0	0	0	0
OTU291	0	1	0	0	0	0	2	0	0	0	0	0	7	1	1	0	0	0	0	1	0	2	1	1	4	0	0	0	2	0	0	3	0	0	2	0
OTU3772	5	5	5	16	4	2	0	5	9	9	6	23	11	12	3	11	2	2616	2383	1368	2594	296	879	658	4	3481	3656	103	43	72	2	514	117	115	40	23
OTU3771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU3777	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU3774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
OTU3778	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	6	33	2	0	0	0	0	0	0	0	3	0	0
OTU272	0	3	0	1	0	1	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0
OTU273	3	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	2	0	0	4	0	0	3	0	3	1	0	3	2	2	0
OTU274	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU275	0	4	2	0	2	2	9	6	2	4	0	1	3	3	1	0	1	1	2	0	3	0	4	0	0	0	2	2	0	2	1	0	0	6	9	1
OTU276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0
OTU277	0	0	0	0	0	0	0	0	0	0	0	0	10	6	4	0	0	1	0	2	0	6	0	0	0	0	0	0	0	1	0	0	0	3	5	0
OTU278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
OTU279	0	0	0	0	1	0	3	1	2	4	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	3	0	0	0	3	0	0
OTU1780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU581	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
OTU2268	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2262	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2263	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2261	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2266	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU2267	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU2265	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2442	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2443	1	3	4	3	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2440	0	21	17	4	7	1	1	30	0	13	0	0	0	0	0	4	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	7	2	0
OTU2444	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2445	0	0	0	0	0	0	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	1	0
OTU2449	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU108	0	1	0	0	1	0	0	2	0	0	1	1	1	10	6	1	3	3	3	60	0	237	3	92	4	0	1	0	5	1	0	4	3	0	5	1
OTU109	0	0	0	0	0	0	0	1	0	0	2	1	4	3	13	0	2	40	1	2	18	0	2	4	32	64	3	5	4	11	0	25	3	2	10	0
OTU1370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU102	0	0	0	0	0	0	1	0	0	0	0	3	0	1	2	109	105	2	0	4	6	0	18	4	0	1	0	2	41	40	4	0	44	29	1	69
OTU103	0	0	0	0	0	0	1	0	1	0	4	0	18	12	1	2	1	2	10	33	1	0	51	2	0	0	0	0	1	2	0	32	0	69	0	0
OTU100	4	1	2	2	4	4	66	4	4	1	1	10	0	1	0	3	6	0	0	0	0	0	0	1	1	0	0	9	7	3	1	0	2	2	0	0
OTU101	21	16	7	1	5	7	24	11	7	3	12	15	5	7	13	1	8	0	10	14	5	5	7	10	19	9	7	15	9	9	9	12	13	26	20	13
OTU106	3	1	0	0	1	0	5	0	3	0	1	2	137	124	2	0	3	5	2	181	0	313	5	43	67	2	0	0	2	8	1	6	16	6	8	12
OTU107	0	0	0	0	1	0	1	0	0	0	2	0	5	7	1	0	0	16	4	61	31	71	0	0	2	0	0	2	1	0	0	0	9	1	1	2
OTU104	4	6	1	0	0	2	0	0	0	0	1	3	0	3	6	3	2	0	0	0	2	5	3	0	2	2	2	3	8	0	127	4	11	10	11	20
OTU105	2	0	1	0	0	0	0	0	0	0	1	0	82	61	18	0	0	0	4	3	1	0	0	0	133	31	37	0	0	19	0	2	1	2	0	0
OTU2046	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2047	0	2	2	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU2045	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2042	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2043	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2040	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2048	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2049	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1212	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0
OTU3154	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1213	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3159	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2142	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3519	1	0	0	0	0	6	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU3518	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3513	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
OTU3512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU3511	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU3517	0	0	0	0	0	0	5	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
OTU3516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU3515	3	3	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU2688	0	0	7	1	4	0	0	0	0	1	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2684	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2685	0	2	1	1	1	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
OTU2686	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2687	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2680	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	8	0	0	10	0	2	0	14	19	12	0	0	0	0	7	0	1	5	2
OTU1655	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2682	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3223	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3999	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1437	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU99	0	2	0	0	0	0	1	0	0	0	0	0	75	60	7	0	0	3	3	25	0	4	114	49	4	0	0	0	74	0	0	98	0	23	0	2
OTU98	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	36	0	157	17	25	102	2	0	0	0	0	0	2	0	11	1	3	0	0
OTU1435	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU91	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	10	4	1	3	0	0	0	0	0	0	0	0	0	268	2	0	0	0	261	0	0
OTU90	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	140	51	10	140	4	1	26	0	0	0	0	1	4	0	4	105	21	0	1
OTU93	5	0	3	0	0	10	2	0	0	2	0	1	3	0	9	3	2	0	0	0	0	16	5	12	17	0	0	0	1	5	0	0	0	207	11	20
OTU92	1	1	0	0	0	1	2	0	1	0	0	0	4	25	6	5	4	8	0	17	6	6	8	6	1	0	0	2	247	23	0	12	10	144	5	4
OTU95	2	1	2	3	1	0	1	4	1	0	0	0	1	5	0	3	0	0	0	0	1	1	1	4	5	2	0	635	0	1	0	2	7	5	1	1
OTU94	0	0	0	0	0	0	0	0	0	0	0	2	3	0	211	0	5	1	6	1	0	2	0	1	22	1	2	0	0	1	0	0	19	3	0	0
OTU97	2	6	1	0	0	3	0	2	1	2	4	0	0	1	0	0	0	1	35	46	0	41	43	322	6	0	0	0	22	1	0	20	44	3	0	27
OTU96	9	33	20	32	50	53	19	33	117	27	4	0	0	0	11	2	9	1	2	1	4	11	30	4	0	0	0	1	12	6	6	3	4	11	19	14
OTU1623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
